Rule ID,Rule Name,Layer,High Confidence,Original FPR Normal,Target Attacks,Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows
R01,lit101_overflow,L1,True,0.0009,#1,98455,0,0.6857853841856686,0.904891304347826,0.01066145866683742,0.021074615530662616,0.32350658469670207,368
R02,lit101_near_empty,L1,True,0.0,"#3, #30, #36",98455,0,0.684353257833528,1.0,0.005026573605686111,0.010002867063808098,0.3206733157721581,157
R03,lit301_overflow,L1,False,0.0384,"#7, #32",98455,0,0.7461479863897212,0.9523119292651109,0.21034769802138695,0.3445834316733538,0.4508270075745061,6899
R04,lit301_abnormally_low,L1,True,0.0,"#16, #41",98455,0,0.6858463257325682,1.0,0.00973298328744317,0.01927833090240345,0.323886657554875,304
R05,lit401_overflow,L1,False,0.0186,"#25, #27",98455,0,0.6821999898430755,0.25225225225225223,0.0008964589870013447,0.0017865688307545063,0.31718311922333625,111
R06,lit401_abnormally_low,L1,True,0.0,"#25, #27, #28, #31",98455,0,0.7699558173784978,0.9990698755958609,0.2751168598322341,0.43142964729509226,0.5048238941525501,8601
R07,ait202_ph_drop,L1,True,0.0,#6,98455,0,0.6831953684424357,0.9056603773584906,0.0015367868348594481,0.003068367053408764,0.31814565387992644,53
R08,ait402_orp_spike,L1,True,0.0,"#11, #22, #38",98455,0,0.7485348636432888,1.0,0.20733815713645387,0.34346327234155394,0.45880329349316507,6476
R09,p102_backup_pump_on,L2,True,0.0,"#2, #35",98455,0,0.6894418769996445,0.9866863905325444,0.021354933726067747,0.04180507677843936,0.3315373331582416,676
R11,p204_hcl_backup_on,L2,True,0.0,#24,98455,0,0.6830023868772536,1.0,0.0007683934174297241,0.0015356068846375328,0.31776600654017617,24
R12,p206_naocl_backup_on,L2,True,0.0,#24,98455,0,0.6829922299527703,1.0,0.0007363770250368188,0.0014716703458425313,0.31774414707226656,23
R14,p3_pump_off_flow_persist,L3,False,1.534,"#2, #8, #11, #14, #17, #24, #26",98455,0,0.6616626885379108,0.3205460514947296,0.059390407888839085,0.10021339239890872,0.3174376451393144,5787
R15,uv_off_ro_flowing,L3,True,0.0,"#22, #28",98455,0,0.682941445330354,0.8461538461538461,0.0007043606326439137,0.0014075495841330773,0.317613924430104,26
R16,uf_backwash_dp_contradict,L3,True,0.0,"#8, #23",98455,0,0.6850845563963232,0.9561752988047809,0.007683934174297241,0.015245354930919485,0.32215090548946584,251
R23,p2_both_dosing_off_flow_persist,L3,True,0.0,"#1, #7, #8, #11, #14, #16, #17, #23, #24, #37",98455,0,0.6830836422731197,1.0,0.0010245245565729654,0.0020469519605961746,0.3179408822834533,32
R18,lit101_sustained_high,L4,False,0.0024,"#1, #3, #36",98455,0,0.6857041287898025,0.9420731707317073,0.009893065249407697,0.01958050820607059,0.3234228809927807,328
R19,lit101_sustained_low,L4,False,0.2733,"#3, #30, #36",98455,0,0.6847900055863084,0.9032258064516129,0.007171671896010758,0.014230353852995363,0.32144386735797387,248
R20,lit301_sustained_high,L4,False,0.0384,"#7, #25, #32",98455,0,0.746290183332487,0.9766803840877915,0.20516104245373631,0.339092472549279,0.45253257296514016,6561
R21,fit401_sustained_low,L4,True,0.0,"#10, #11, #28, #40",98455,0,0.7498958915240466,1.0,0.21162835371710315,0.3493288235915865,0.4617324621930567,6610
R22,ait504_conductivity_high,L4,True,0.0,#20,98455,0,0.6839063531562642,1.0,0.0036178523403982837,0.007209621335374996,0.31971149918413405,113
