Rule ID,Rule Name,Layer,High Confidence,Original FPR Normal,Target Attacks,Evaluated Windows,Ignored Windows,Accuracy,Precision,Recall,F1-score,AUC-PR,Positive Windows
R01,lit101_overflow,L1,True,0.0009,#1,98377,78,0.7180641816684794,0.875,0.011495073539911466,0.022692036645525018,0.2915264187099768,368
R02,lit101_near_empty,L1,True,0.0,"#3, #30, #36",98377,78,0.7168545493357187,1.0,0.00560474082536056,0.011147005573502787,0.28875019148964187,157
R03,lit301_overflow,L1,False,0.0384,"#7, #32",98377,78,0.7786982729703081,0.9523119292651109,0.23454233899757246,0.3763856664088683,0.44131491674895396,6899
R04,lit301_abnormally_low,L1,True,0.0,"#16, #41",98377,78,0.7183488010408937,1.0,0.010852491789233186,0.021471959316287613,0.2925036907483395,304
R05,lit401_overflow,L1,False,0.0186,"#25, #27",98377,78,0.7146995740874391,0.25225225225225223,0.0009995716121662145,0.001991252711303915,0.28470887696336056,111
R06,lit401_abnormally_low,L1,True,0.0,"#25, #27, #28, #31",98377,78,0.7713184992427091,0.82060225555168,0.2519634442381836,0.3855461174992489,0.41975871100017,8601
R07,ait202_ph_drop,L1,True,0.0,#6,98377,78,0.7156957418908891,0.9056603773584906,0.001713551335142082,0.0034206306787814005,0.2858053287699877,53
R08,ait402_orp_spike,L1,True,0.0,"#11, #22, #38",98377,78,0.7810870427030708,1.0,0.23118663429958589,0.3755509162607284,0.4500995915965151,6476
R09,p102_backup_pump_on,L2,True,0.0,"#2, #35",98377,78,0.7221301727029692,1.0,0.02413251463658432,0.04712771890686001,0.3020023419336152,676
R11,p204_hcl_backup_on,L2,True,0.0,#24,98377,78,0.7155026073167509,1.0,0.000856775667571041,0.0017120844628334998,0.28535416835082017,24
R12,p206_naocl_backup_on,L2,True,0.0,#24,98377,78,0.7154924423391646,1.0,0.0008210766814222476,0.0016408061351881576,0.2853286343422576,23
R14,p3_pump_off_flow_persist,L3,False,1.534,"#2, #8, #11, #14, #17, #24, #26",98377,78,0.6902426380149832,0.2873682391567306,0.05936741396544338,0.0984052782626705,0.2848973036339655,5787
R15,uv_off_ro_flowing,L3,True,0.0,"#22, #28",98377,78,0.7154416174512335,0.8461538461538461,0.0007853776952734542,0.0015692988087595407,0.2851822729959607,26
R16,uf_backwash_dp_contradict,L3,True,0.0,"#8, #23",98377,78,0.7175864277219268,0.9561752988047809,0.00856775667571041,0.01698333510243074,0.29049403482410874,251
R23,p2_both_dosing_off_flow_persist,L3,True,0.0,"#1, #7, #8, #11, #14, #16, #17, #23, #24, #37",98377,78,0.7155839271374407,1.0,0.001142367556761388,0.002282128084438739,0.28555844041932077,32
R18,lit101_sustained_high,L4,False,0.0024,"#1, #3, #36",98377,78,0.7183284710857213,0.9603658536585366,0.011245180636869913,0.022230063514467185,0.29233887170752987,328
R19,lit101_sustained_low,L4,False,0.2733,"#3, #30, #36",98377,78,0.7177795622960651,1.0,0.008853348564900757,0.017551309271054492,0.2910737862688357,248
R20,lit301_sustained_high,L4,False,0.0384,"#7, #25, #32",98377,78,0.7788405826565152,0.9766803840877915,0.22875910324146795,0.37069389407919473,0.44302870459024807,6561
R21,fit401_sustained_low,L4,True,0.0,"#10, #11, #28, #40",98377,78,0.7824491496996249,1.0,0.2359702984435242,0.3818381376003697,0.4535211487438993,6610
R22,ait504_conductivity_high,L4,True,0.0,#20,98377,78,0.7164072903219249,1.0,0.004033985434813652,0.008035555555555556,0.2876266951128888,113
