score_mode,top_k,threshold_percentile,threshold,smoothing_window,ae_pred_col,hybrid_mode,pred_col,Accuracy,Precision,Recall,F1-score,Positive Windows,Evaluated Windows,delta_precision_vs_current_y_pred,delta_recall_vs_current_y_pred,delta_f1_vs_current_y_pred,delta_precision_vs_current_best,delta_recall_vs_current_best,delta_f1_vs_current_best,beats_current_y_pred_both,beats_current_best_f1,beats_current_best_both
max,,98.0,0.035333018749952316,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5898430755167335,0.4346646097588847,0.9742588205161042,0.6011339167539164,70008,98455,0.006574816822071283,-0.0014087212652877934,0.006054830637923447,-0.007253622801973281,0.005955048985080369,-0.005736618602051213,False,False,False
max,,98.0,0.035333018749952316,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5884312630135595,0.43381839431039154,0.9745149516552475,0.6003727920944406,70163,98455,0.005728601373578113,-0.0011525901261445481,0.005293705978447694,-0.008099838250466451,0.006211180124223614,-0.006497743261526967,False,False,False
topk,3.0,98.0,0.0324898324906826,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5858818749682596,0.43231044369375765,0.9751552795031055,0.5990480686019982,70454,98455,0.004220650756944222,-0.0005122622782864905,0.003968982486005301,-0.009607788867100342,0.006851507972081672,-0.00782246675396936,False,False,False
topk,4.0,98.0,0.031794652342796326,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5853841856685795,0.43202733937408716,0.9754434270346417,0.5988305242985603,70521,98455,0.003937546437273731,-0.00022411474675032572,0.0037514381825674015,-0.009890893186770833,0.007139655503617837,-0.00804001105740726,False,False,False
topk,5.0,98.0,0.03118884190917015,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5849982225382154,0.43179660152208726,0.9754754434270346,0.598614863205462,70561,98455,0.0037068085852738353,-0.0001920983543574062,0.003535777089469061,-0.010121631038770729,0.007171671896010756,-0.0082556721505056,False,False,False
topk,4.0,98.0,0.031794652342796326,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5840739424102381,0.43124628492173567,0.9755714926042134,0.5981038746908491,70658,98455,0.0031564919849222384,-9.604917717864758e-05,0.0030247885748562187,-0.010671947639122326,0.007267721073189515,-0.008766660665118442,False,False,False
topk,5.0,98.0,0.03118884190917015,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5837387639022904,0.43104887191456254,0.9756355253889991,0.59792600731882,70695,98455,0.0029590789777491078,-3.2016392392919535e-05,0.002846921202827035,-0.010869360646295456,0.007331753857975243,-0.008944528037147625,False,False,False
topk,3.0,97.5,0.031316302716732025,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5832715453760601,0.4307744497999915,0.9757315745661779,0.5976799599925476,70747,98455,0.002684656863178092,6.403278478583907e-05,0.0026008738765547212,-0.011143782760866472,0.007427803035154001,-0.00919057536341994,True,False,False
topk,4.0,97.5,0.030647289007902145,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5827636991518969,0.4304800372844493,0.9758916565281424,0.5974265246322557,70807,98455,0.0023902443476358504,0.00022411474675032572,0.0023474385162627343,-0.011438195276408714,0.007587884997118488,-0.009444010723711926,True,False,False
topk,5.0,97.5,0.030052930116653442,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5820628713625514,0.4300708179330192,0.976051738490107,0.5970622796709754,70886,98455,0.0019810249962057824,0.0003841967087149234,0.001983193554982443,-0.011847414627838782,0.007747966959083086,-0.009808255684992218,True,False,False
