score_mode,top_k,threshold_percentile,threshold,smoothing_window,ae_pred_col,hybrid_mode,pred_col,Accuracy,Precision,Recall,F1-score,Positive Windows,Evaluated Windows,delta_precision_vs_current_y_pred,delta_recall_vs_current_y_pred,delta_f1_vs_current_y_pred,delta_precision_vs_current_best,delta_recall_vs_current_best,delta_f1_vs_current_best,beats_current_y_pred_both,beats_current_best_f1,beats_current_best_both
max,,98.0,0.035333018749952316,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5898430755167335,0.4346646097588847,0.9742588205161042,0.6011339167539164,70008,98455,0.006574816822071283,-0.0014087212652877934,0.006054830637923447,-0.007253622801973281,0.005955048985080369,-0.005736618602051213,False,False,False
max,,98.0,0.035333018749952316,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5884312630135595,0.43381839431039154,0.9745149516552475,0.6003727920944406,70163,98455,0.005728601373578113,-0.0011525901261445481,0.005293705978447694,-0.008099838250466451,0.006211180124223614,-0.006497743261526967,False,False,False
max,,98.0,0.035333018749952316,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5893758569905033,0.4342195638486635,0.9715374271627073,0.6001898771732036,69884,98455,0.006129770911850074,-0.004130114618684733,0.005110791057210684,-0.00769866871219449,0.0032336556316834297,-0.006680658182763977,False,False,False
max,,98.0,0.035333018749952316,1,y_pred,ae_only,y_pred,0.5879843583362958,0.43338901500549676,0.9718575910866364,0.5994569242162429,70041,98455,0.005299222068683329,-0.0038099506947556483,0.004377838100249942,-0.008529217555361235,0.003553819555612514,-0.007413611139724718,False,False,False
topk,3.0,98.0,0.0324898324906826,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5858818749682596,0.43231044369375765,0.9751552795031055,0.5990480686019982,70454,98455,0.004220650756944222,-0.0005122622782864905,0.003968982486005301,-0.009607788867100342,0.006851507972081672,-0.00782246675396936,False,False,False
topk,4.0,98.0,0.031794652342796326,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5853841856685795,0.43202733937408716,0.9754434270346417,0.5988305242985603,70521,98455,0.003937546437273731,-0.00022411474675032572,0.0037514381825674015,-0.009890893186770833,0.007139655503617837,-0.00804001105740726,False,False,False
topk,5.0,98.0,0.03118884190917015,2,y_pred_smooth2,loose_or_high_conf,y_hybrid_loose,0.5849982225382154,0.43179660152208726,0.9754754434270346,0.598614863205462,70561,98455,0.0037068085852738353,-0.0001920983543574062,0.003535777089469061,-0.010121631038770729,0.007171671896010756,-0.0082556721505056,False,False,False
topk,3.0,98.0,0.0324898324906826,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.585627951856178,0.43204138774001904,0.9732342959595313,0.5984270569822724,70359,98455,0.003951594803205616,-0.0024332458218607744,0.0033479708662794705,-0.009876844820838948,0.004930524428507388,-0.00844347837369519,False,False,False
topk,3.0,98.0,0.0324898324906826,1,y_pred,loose_or_high_conf,y_hybrid_loose,0.5846630440302676,0.43158506177037287,0.9753153614650701,0.5983814256811173,70584,98455,0.0034952688335594395,-0.00035218031632189284,0.003302339565124379,-0.010333170790485124,0.0070115899340462695,-0.008489109674850281,False,False,False
topk,4.0,98.0,0.031794652342796326,2,y_pred_smooth2,ae_only,y_pred_smooth2,0.5851708902544309,0.43178849321292667,0.9736184926682462,0.5982569691723555,70428,98455,0.0036987002761132426,-0.002049049113145851,0.0031778830563625737,-0.010129739347931321,0.005314721137222311,-0.008613566183612087,False,False,False
